age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas
27,Male,Once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy
38,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,4,Sometimes,4,2,Wide product selection,Product quality and accuracy
23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,3,No,2,2,User-friendly website/app interface,Product quality and accuracy
38,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Rarely,No,Moderately,No,4,No,4,2,Product recommendations,Shipping speed and reliability
23,Male,Few times a month,others,No,Few times a week,categories,Multiple pages,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Heavily,Sometimes,2,Yes,3,3,Competitive prices,Reducing packaging waste
24,Male,Once a week,Clothing and Fashion;others,No,Few times a week,categories,First page,2,No,Often,Found a better price elsewhere,Often,Yes,Occasionally,No,3,No,3,2,Product recommendations,Customer service responsiveness
25,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Filter,First page,2,No,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,No,2,Yes,3,2,Product recommendations,Customer service responsiveness
26,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Sometimes,No,Heavily,Yes,1,Yes,2,1,Wide product selection,Customer service responsiveness
27,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Filter,First page,3,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,3,No,3,2,Competitive prices,Product quality and accuracy
29,Prefer not to say,Once a week,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,1,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,3,No,2,1,Competitive prices,Customer service responsiveness
35,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,No,Never,No,4,No,3,2,Competitive prices,Reducing packaging waste
21,Female,Once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Heavily,Yes,1,Sometimes,3,1,Competitive prices,Product quality and accuracy
36,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,2,Yes,2,3,Product recommendations,Customer service responsiveness
44,Female,Few times a month,Beauty and Personal Care,No,Multiple times a day,Filter,First page,2,No,Often,High shipping costs,Sometimes,No,Occasionally,No,2,No,2,2,Competitive prices,Customer service responsiveness
32,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,1,Yes,1,1,User-friendly website/app interface,Customer service responsiveness
30,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,Yes,Always,High shipping costs,Often,Yes,Moderately,Yes,4,No,3,2,Competitive prices,Product quality and accuracy
36,Others,Less than once a month,others,Sometimes,Rarely,others,First page,5,Maybe,Never,others,Never,No,Never,Sometimes,5,Sometimes,5,5,User-friendly website/app interface,Shipping speed and reliability
25,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,No,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness
20,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Heavily,Yes,4,Yes,1,1,Wide product selection,Product quality and accuracy
35,Female,Once a week,Beauty and Personal Care,No,Few times a month,categories,First page,3,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,2,Sometimes,4,3,Product recommendations,Product quality and accuracy
42,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Product quality and accuracy
37,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,Multiple pages,2,No,Often,Found a better price elsewhere,Often,No,Moderately,No,2,No,1,1,Product recommendations,Reducing packaging waste
28,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,3,Sometimes,2,1,Wide product selection,Customer service responsiveness
27,Male,Once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a week,categories,First page,2,No,Often,Changed my mind or no longer need the item,Often,No,Heavily,Sometimes,3,No,2,2,Competitive prices,Customer service responsiveness
45,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,categories,Multiple pages,2,No,Often,Changed my mind or no longer need the item,Often,No,Moderately,No,2,No,2,2,Competitive prices,Product quality and accuracy
35,Male,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Keyword,First page,1,Yes,Rarely,High shipping costs,Always,Yes,Heavily,Yes,1,Yes,1,1,Competitive prices,Shipping speed and reliability
50,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,First page,3,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Moderately,No,2,No,3,2,Competitive prices,Reducing packaging waste
54,Female,Few times a month,Beauty and Personal Care;others,No,Few times a week,Keyword,First page,3,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,2,No,3,2,Competitive prices,Reducing packaging waste
29,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,1,Sometimes,1,1,Competitive prices,Product quality and accuracy
63,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness
24,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,2,Sometimes,2,1,Competitive prices,Product quality and accuracy
23,Female,Less than once a month,Beauty and Personal Care,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,High shipping costs,Often,Yes,Heavily,Yes,1,Yes,1,1,Wide product selection,Shipping speed and reliability
26,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,categories,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Occasionally,Yes,5,Yes,1,1,Wide product selection,Product quality and accuracy
29,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Filter,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,Always,No,Rarely,Yes,3,Yes,1,1,Competitive prices,Shipping speed and reliability
46,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,No,2,Yes,3,2,Competitive prices,Reducing packaging waste
24,Male,Less than once a month,others,No,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,4,5,Wide product selection,Nil
33,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Often,No,Occasionally,No,2,No,2,2,Competitive prices,Reducing packaging waste
33,Female,Once a week,Beauty and Personal Care;others,No,Few times a week,Filter,First page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,2,Yes,1,1,Product recommendations,Shipping speed and reliability
31,Prefer not to say,Once a month,Clothing and Fashion,No,Few times a month,categories,First page,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Heavily,No,3,No,5,4,Wide product selection,Shipping speed and reliability
40,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Filter,First page,2,No,Always,High shipping costs,Often,No,Occasionally,No,1,Yes,1,2,Product recommendations,Reducing packaging waste
37,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,First page,3,No,Sometimes,Found a better price elsewhere,Always,No,Occasionally,No,2,No,3,4,Product recommendations,Customer service responsiveness
25,Prefer not to say,Few times a month,Beauty and Personal Care,No,Rarely,categories,First page,3,No,Rarely,Changed my mind or no longer need the item,Often,No,Heavily,No,2,No,3,2,User-friendly website/app interface,Product quality and accuracy
60,Female,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Keyword,First page,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,2,No,2,3,Product recommendations,Customer service responsiveness
18,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Often,No,Rarely,No,4,No,4,4,Competitive prices,Reducing packaging waste
50,Male,Less than once a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,categories,Multiple pages,3,No,Never,others,Rarely,No,Occasionally,No,4,No,4,4,Product recommendations,Shipping speed and reliability
24,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,No,Occasionally,Sometimes,3,No,2,3,Wide product selection,Product quality and accuracy
19,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,First page,3,No,Often,Found a better price elsewhere,Sometimes,No,Occasionally,No,2,No,3,2,Wide product selection,Customer service responsiveness
18,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,others,First page,4,Maybe,Rarely,High shipping costs,Always,Yes,Moderately,No,1,No,2,1,Wide product selection,Product quality and accuracy
17,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,categories,Multiple pages,3,Maybe,Never,Changed my mind or no longer need the item,Always,Yes,Moderately,No,2,No,2,2,Wide product selection,Customer service responsiveness
27,Female,Once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability
23,Male,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,No,Rarely,Filter,Multiple pages,1,No,Often,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy
35,Female,Few times a month,Beauty and Personal Care,No,Few times a month,categories,First page,3,Maybe,Rarely,Found a better price elsewhere,Often,Yes,Occasionally,No,2,No,4,2,Product recommendations,Reducing packaging waste
57,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,3,Sometimes,3,1,Product recommendations,Reducing packaging waste
54,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,First page,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,No,3,No,2,2,Competitive prices,Product quality and accuracy
26,Prefer not to say,Once a month,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,2,No,Sometimes,High shipping costs,Often,No,Heavily,No,2,No,2,2,Wide product selection,Shipping speed and reliability
46,Male,Once a week,Beauty and Personal Care,Sometimes,Rarely,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Often,Yes,Heavily,No,2,No,2,2,Competitive prices,Customer service responsiveness
26,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Often,others,Often,Yes,Moderately,Yes,3,Sometimes,3,2,Competitive prices,Add more familiar brands to the list
24,Male,Once a month,others,No,Few times a month,Filter,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,1,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability
26,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,2,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability
27,Male,Once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,5,Maybe,Often,High shipping costs,Never,Yes,Heavily,Yes,3,Yes,1,2,Wide product selection,Shipping speed and reliability
22,Female,Few times a month,Beauty and Personal Care,Yes,Multiple times a day,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Always,Yes,Moderately,Sometimes,1,Sometimes,3,3,Competitive prices,Customer service responsiveness
24,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,3,3,Product recommendations,Customer service responsiveness
25,Male,Multiple times a week,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Often,No,Occasionally,Sometimes,2,No,3,3,Competitive prices,Reducing packaging waste
22,Prefer not to say,Once a month,Beauty and Personal Care,Yes,Few times a week,others,First page,2,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,No,3,Sometimes,3,3,Product recommendations,Customer service responsiveness
27,Male,Once a month,others,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,3,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability
23,Female,Less than once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,2,Yes,2,2,Competitive prices,Shipping speed and reliability
24,Male,Less than once a month,Clothing and Fashion,No,Few times a month,categories,First page,1,Maybe,Sometimes,High shipping costs,Never,No,Heavily,Yes,3,Yes,3,3,User-friendly website/app interface,Product quality and accuracy
24,Female,Less than once a month,Beauty and Personal Care,No,Rarely,categories,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Moderately,Yes,3,No,3,3,Competitive prices,Product quality and accuracy
23,Female,Few times a month,Clothing and Fashion,No,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,4,Yes,3,4,User-friendly website/app interface,Product quality and accuracy
23,Male,Once a month,Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Heavily,Yes,3,No,3,3,Competitive prices,UI
25,Female,Once a week,Groceries and Gourmet Food,Yes,Multiple times a day,Filter,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,3,Yes,3,3,Product recommendations,Reducing packaging waste
21,Male,Once a week,Groceries and Gourmet Food,No,Few times a week,categories,First page,5,Maybe,Sometimes,High shipping costs,Rarely,Yes,Occasionally,No,3,No,3,3,User-friendly website/app interface,Customer service responsiveness
36,Female,Few times a month,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,2,No,Often,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,3,Sometimes,3,4,Wide product selection,Customer service responsiveness
23,Female,Multiple times a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,No,Often,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness
23,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness
23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,3,No,3,3,Product recommendations,Customer service responsiveness
21,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,3,No,3,3,Competitive prices,Customer service responsiveness
23,Prefer not to say,Once a week,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Often,High shipping costs,Always,Yes,Heavily,Yes,3,Sometimes,3,3,Competitive prices,Product quality and accuracy
26,Others,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Yes,Sometimes,High shipping costs,Sometimes,Yes,Occasionally,No,3,No,2,3,User-friendly website/app interface,Product quality and accuracy
30,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Never,Yes,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness
37,Female,Once a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,4,Sometimes,2,3,Wide product selection,Product quality and accuracy
26,Female,Once a month,Beauty and Personal Care,Yes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Occasionally,Yes,2,Yes,3,3,Competitive prices,Shipping speed and reliability
46,Female,Once a month,others,Sometimes,Rarely,others,First page,5,Yes,Always,High shipping costs,Always,Yes,Rarely,Sometimes,1,Yes,1,1,User-friendly website/app interface,Shipping speed and reliability
36,Female,Less than once a month,others,No,Rarely,others,Multiple pages,4,No,Never,others,Never,No,Never,Sometimes,4,Yes,4,4,User-friendly website/app interface,Product quality and accuracy
40,Female,Less than once a month,Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,3,Yes,2,2,Wide product selection,Customer service responsiveness
41,Male,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,5,Yes,2,3,Wide product selection,Shipping speed and reliability
34,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,4,No,3,2,Wide product selection,Scrolling option would be much better than going to next page
29,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,No,3,3,User-friendly website/app interface,Product quality and accuracy
35,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Rarely,Yes,2,Yes,3,3,Product recommendations,Product quality and accuracy
32,Male,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Rarely,Yes,Moderately,Yes,3,Yes,1,3,Product recommendations,Reducing packaging waste
41,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Filter,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,No,Heavily,Yes,1,Yes,2,2,Wide product selection,Product quality and accuracy
35,Female,Few times a month,Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Yes,2,Yes,3,2,Wide product selection,Product quality and accuracy
36,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,3,Yes,2,1,Competitive prices,Reducing packaging waste
46,Female,Once a week,others,No,Few times a week,Keyword,Multiple pages,5,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Yes,5,Sometimes,3,4,Wide product selection,Customer service responsiveness
39,Female,Few times a month,Home and Kitchen,Sometimes,Few times a week,Filter,First page,2,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Rarely,No,1,Sometimes,2,3,Wide product selection,Customer service responsiveness
48,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Occasionally,Yes,2,Yes,2,1,Wide product selection,Customer service responsiveness
25,Male,Few times a month,others,No,Few times a week,Keyword,Multiple pages,5,No,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,3,4,Wide product selection,Customer service responsiveness
38,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,categories,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Quality of product is very poor according to the big offers
26,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,categories,Multiple pages,1,Maybe,Sometimes,others,Sometimes,No,Occasionally,Sometimes,1,Yes,3,3,Competitive prices,Product quality and accuracy
40,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,categories,Multiple pages,4,Yes,Sometimes,High shipping costs,Often,Yes,Rarely,Sometimes,3,No,4,3,User-friendly website/app interface,Product quality and accuracy
49,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Always,Yes,Heavily,Yes,3,Yes,3,2,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues 
30,Male,Less than once a month,Clothing and Fashion,Yes,Few times a week,categories,Multiple pages,5,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,Yes,3,Yes,4,1,Wide product selection,Product quality and accuracy
24,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Maybe,Rarely,High shipping costs,Sometimes,No,Moderately,Yes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness
23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Heavily,Yes,2,Yes,2,1,Wide product selection,Shipping speed and reliability
27,Male,Once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,3,Yes,3,4,User-friendly website/app interface,Product quality and accuracy
28,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,5,Yes,2,2,Competitive prices,Product quality and accuracy
23,Male,Less than once a month,others,No,Few times a week,Keyword,First page,3,Yes,Rarely,Changed my mind or no longer need the item,Often,Yes,Moderately,Sometimes,2,Sometimes,3,2,User-friendly website/app interface,Product quality and accuracy
46,Female,Few times a month,Home and Kitchen,Yes,Few times a week,categories,Multiple pages,1,Yes,Always,Found a better price elsewhere,Often,No,Occasionally,Yes,1,Yes,2,2,Product recommendations,Product quality and accuracy
27,Male,Less than once a month,others,Sometimes,Rarely,Keyword,First page,2,Maybe,Rarely,others,Often,No,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness
20,Female,Once a month,Home and Kitchen,No,Rarely,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,3,Sometimes,2,3,Competitive prices,Product quality and accuracy
23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,4,Yes,Rarely,Changed my mind or no longer need the item,Sometimes,No,Heavily,Yes,4,Yes,3,4,User-friendly website/app interface,Shipping speed and reliability
29,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,Yes,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Customer service responsiveness
29,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,others,First page,1,Maybe,Sometimes,High shipping costs,Sometimes,Yes,Moderately,Yes,1,Yes,1,3,Wide product selection,Product quality and accuracy
57,Female,Few times a month,Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,4,Yes,3,3,User-friendly website/app interface,Customer service responsiveness
25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,4,Yes,3,1,User-friendly website/app interface,Customer service responsiveness
23,Female,Few times a month,Beauty and Personal Care;others,No,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Yes,1,Sometimes,3,2,Product recommendations,Product quality and accuracy
15,Male,Once a month,Clothing and Fashion;others,No,Few times a week,Keyword,First page,1,Yes,Sometimes,others,Rarely,No,Heavily,Sometimes,3,Sometimes,3,2,Wide product selection,Product quality and accuracy
39,Male,Less than once a month,Clothing and Fashion;others,Yes,Few times a month,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,3,Sometimes,3,2,Wide product selection,Product quality and accuracy
23,Female,Once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,4,3,User-friendly website/app interface,Reducing packaging waste
25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,5,Yes,Sometimes,High shipping costs,Rarely,Yes,Heavily,Yes,3,Yes,3,3,Competitive prices,Shipping speed and reliability
37,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,2,Sometimes,3,2,Wide product selection,Reducing packaging waste
